Name ,Type of Treatment,Bed Availability,Contact Number,Website,Address,Eligible Min Ages,Eligible Max Age,Eligible Genders,Co-Occurring Disorders? ,Methadone? ,Pregnant Women? ,Disabled?,Take Uninsured?,Insurances Accepted
Hope House ,residental rehabilitation,0,617-971-9360,www.hopehouseboston.org,"8 Farnham St, Boston, MA 02119",18,9999,male,Y,?,N,Y,N,"Medicare/Medicaid, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan"
Interim House,residental rehabilitation,0,617-265-2636,http://interimhouse.weebly.com/about.html,"62 Waldeck St, Boston, MA 02124",18,9999,male,Y,?,N,Y,N,"MBHP (PCC Plan), WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Steward Health Choice"
John Flowers Recovery Home (Dimock),residental rehabilitation,1,617-442-8800 ext. 1336,www.dimock.org/,"50 Dimock St., Roxbury MA 02119",18,9999,male,Y,N,N,Y,?,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Tufts, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, WellSense - MA Connector Care & Qualified Health Plan"
Living and Recovery Community (Victory),residental rehabilitation,2,617-522-2936 ext. 424,www.vpi.org,"170 Morton St, 11th Floor North, Boston, MA 02130",18,9999,All,Y,?,Y,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA"
Megan's House,residental rehabilitation,17,978-455-6973,https://themeganhouse.org/,"32 Berry Rd, Lowell, MA 01854",18,25,female,Y,?,Y,Y,,"MBHP (PCC Plan), Tufts, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Tufts Health Together (MCO), Other, WellSense Care Alliance
"
Men's Hello House (CASPAR),residental rehabilitation,0,617-390-0240,https://behavioralhealth.voa.org/mass-hello-house,"686 Massachusetts Avenue Boston, MA 02118",18,9999,male,Y,?,N,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Tufts, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan
"
My Sister's House (Dimock),residental rehabilitation,5,617-442-8800 ext. 3030,www.dimock.org/,"56 Dimock St., Roxbury MA 02119",18,9999,female,Y,Y,Y,Y,?,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Tufts, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, WellSense - MA Connector Care & Qualified Health Plan"
New Joelyn's Home (Victory),residental rehabilitation,3,617-456-1201 ext.124,www.vpi.org,"70 Brookledge Street, Dorchester MA 02121",18,9999,female,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, Neighborhood Health Plan/Commercial, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan"
New Victories (Victory),residental rehabilitation,2,617-262-5032 ext. 501,www.vpi.org,"9 Virginia St, Boston, MA 02125",18,9999,male,Y,?,Y,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA"
Pine Street Inn,residental rehabilitation,0,617-892-9228,www.pinestreetinn.org/,"444 Harrison Avenue, Boston, MA 02118",21,9999,male,?,?,?,Y,N,"Massachusetts Behavioral Health Partnership, BMC HealthNet, Neighborhood Health Plan, Fallon Health Plan, Tufts Health Plan, Commonwealth Care Alliance, Medicaid; Self-Pay"
Project Turnabout (Spectrum),residental rehabilitation,0,781-331-3709,https://www.spectrumhealthsystems.org/locations/861-main-street/,"861 Main St, Weymouth, MA 02190",18,60,male,Y,?,N,N,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Other"
"Rehabilitation & Health, Inc.",residental rehabilitation,1,617-569-2089,www.eastbostonrehab.com/,"52 White Street One Monmouth Square East Boston, MA 02128",18,9999,male,Y,N,N,Y,N,"MBHP (PCC Plan), Tufts, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance"
Serenity House,residental rehabilitation,4,508-620-2510,https://www.smoc.org/serenity-house.php,"228 Concord St, Framingham, MA 01702",18,9999,female,Y,?,Y,Y,N,"MBHP (PCC Plan), MassHealth FFS, Tufts, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO)
"
Shepherd House (Victory),residental rehabilitation,10,617-288-3906 ext. 206,www.vpi.org,"24 Windermere Rd, Boston, MA 02125",18,9999,female,Y,?,Y,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA
"
South Shore Recovery Home,residental rehabilitation,7,617-773-7023,https://massachusetts.networkofcare.org/mh/services/agency.aspx?print=1&pid=SouthShoreRecoveryHome_2_1632_1,"10 Dysart St, Quincy, MA 02169",18,9999,male,Y,?,N,Y,N,"MBHP (PCC Plan), MassHealth FFS, Tufts, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA
"
Sullivan House,residental rehabilitation,0,781-894-6110,mhsainc.org,"65 Glen Rd, Boston, MA 02130",18,9999,male,Y,?,N,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), Tufts Health Together (MCO), Tufts Health Together With CHA, Other
"
The Alternative,residental rehabilitation,0,617-569-2089,https://massachusetts.networkofcare.org/mh/services/agency.aspx?pid=TheAlternativeHouseRecoveryHomesforMen_2_1632_0,"One Monmouth Square, Boston, MA 02128",18,9999,male,Y,?,N,Y,N,"MBHP (PCC Plan), Tufts, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance"
The Bridge House,residental rehabilitation,2,508-872-6194 Ext. 105,https://thebridgehouse.org/admission/,"18-20 Summit St, Framingham, MA 01702",18,9999,male,Y,N,N,Y,N,"Mass Health - MBHP, BMC, Tufts, Fallon 365, Welforce, Optum, and CCA"
Victory House,residental rehabilitation,1,617-288-1272,www.vpi.org,"566 Massachusetts Avenue, Boston, MA 02118",18,9999,male,Y,N,N,Y,?,All insurance
Westborough Residential (Spectrum),residental rehabilitation,0,508-898-1570,www.spectrumhealthsystems.org/,"154 Oak Street Westborough, MA 01581",18,9999,All,Y,Y,Y,N,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Other"
Womanplace (CASPAR),residental rehabilitation,5,617-661-6020,https://bay-cove.squarespace.com/caspar-residential-services-for-men-and-women,"11 Russell St, Cambridge, MA 02140",18,60,female,Y,?,N,N,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN (Health Safety Net), BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative, Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance, WellSense BILH Performance Network ACO, WellSense Care Alliance, East Boston Neighborhood Health WellSense Alliance, Fallon Health-Atrius, Mass General Brigham Health Plan with Mass General, Tufts Health Together with UMASS Memorial Health"
Women's Hello House (CASPAR),residental rehabilitation,5,617-326-6484,https://www.findhelp.org/volunteers-of-america-massachusetts--boston-ma--hello-house-for-women/6467004232105984?postal=02148,"18 Mt. Vernon St, Boston, MA 02125",18,9999,female,Y,?,Y,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Neighborhood Health Plan/Commercial, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA"
Women's View,residental rehabilitation,0,978-687-1658,https://psychologicalcenter.com/our-programs/womens-view/,"582-584 Haverhill St, Lawrence, MA 01841",18,9999,female,Y,?,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Tufts, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan
"
Emerson House CSS,residental rehabilitation,0,800-554-1554,https://gosnold.org/,"558 W. Falmouth Highway, Falmouth, MA 02574",18,9999,All,Y,Y,Y,Y,Y,"Sliding Scale, Free Services / Health Safety Net (Uninsured Population Accepted), HMO, Private Insurance"
Greater Boston Addiction Center,residental rehabilitation,0,844-432-0278,https://greaterbostonaddictioncenters.com/,"322 Reservoir St, Needham, MA 02494",18,9999,All,Y,Y,?,Y,N,All insurance
BHN Dorchester Family Center,residental rehabilitation,2,413-301-9355,https://www.bhninc.org/location/dorchester-family-center,"90 Cushing Ave Dorchester, MA 02125",18,9999,female,Y,N,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Harvard Pilgrim, Tufts, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, OneCare, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance"
Shiloh House,residental rehabilitation,4,857-273-3923,https://yourfirststep.org/treatment-center/shiloh-house-jamaica-plain-ma/,"5 Parley Vale, Jamaica Plain MA 02130",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Tufts Health Together (MCO)
"
Entire Familia,residental rehabilitation,10,617-661-3991,https://www.rehab.com/boston-public-health-commission-entre-familia-mattapan,"209 River Street Mattapan, MA 02126",18,9999,female,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, Cigna, Aetna, Unicare, Children's Medical Security Plan, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
Hurley House,residental rehabilitation,2,781-894-6110,mhsainc.org,"12 Lowell St Waltham, MA 02453",18,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), Tufts Health Together (MCO), Tufts Health Together With CHA, Other"
Ryan House,residental rehabilitation,6,781-593-9434,https://www.rehab.com/lahey-health-behavioral-services-the-ryan-house-transitional-support,"101 Green Street Lynn, MA 01902",18,9999,All,Y,Y,Y,Y,N,"MBHP (PCC Plan), Tufts, WellSense - MassHealth Essential (MCO)"
Johnson Street Women's Program (Bridgewell),residental rehabilitation,3,978-349-3277,Bridgewell.org,"66 Johnson Street Lynn, MA 01902",18,9999,female,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
Glenice Sheehan Women's Recovery Home,residental rehabilitation,0,978-640-0840,lowellhouseinc.org,"365 East St, Building 2-9, Tewksbury MA 01876",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO)"
Edwina Martin House,residental rehabilitation,4,508-583-0493,https://emhouse.org/,"678 N Main St, Brockton MA 02301",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Tufts, WellSense - MassHealth Essential (MCO), Community Care Cooperative (C3)"
Adult & Teen Challenge Massachusetts,residental rehabilitation,55,508-596-7920,https://tcmassachusetts.org/,"20 Clifton Ave, Brockton MA 02301",18,9999,male,Y,N,N,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Tufts Health Together (MCO), WellSense - MA Connector Care & Qualified Health Plan, WellSense - MassHealth Signature Alliance
"
Sage House,residental rehabilitation,2,508-626-2586,https://www.rehab.com/smoc-sage-house,517 Winter St Framingham MA 01701,18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Children's Medical Security Plan, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
Pegasus House,residental rehabilitation,4,978-687-4257,https://psychologicalcenter.com/our-programs/pegasus-house/,"482 Lowell Street, Lawrence MA 01840",18,25,female,Y,Y,N,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Tufts, Fallon Community Health Plan/Commercial, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MA Connector Care & Qualified Health Plan"
Link House,residental rehabilitation,0,978-687-1658,https://linkhouseinc.org/,"37 Washington St. Newburyport, MA 01950",18,9999,male,Y,Y,Y,Y,N,MBHP (PCC Plan)
North Cottage Program,residental rehabilitation,0,508-285-2701 x138,http://www.northcottage.com/,"69 East Main Street, Norton MA 02766",18,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Southcoast Alliance, Fallon 365 Care, Tufts Health Together (MCO)"
"Orchard Street, Community HealthLink",residental rehabilitation,2,978-537-3109,https://www.communityhealthlink.org/program/orchard-street-residential-recovery-home,"17 Orchard Street, Leominster MA 01453",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), MassHealth FFS
"
Orchard House,residental rehabilitation,11,978-302-4566,https://www.communityhealthlink.org/program/orchard-street-residential-recovery-home,"17 Orchard Street, Leominster MA 01453",18,9999,All,Y,Y,Y,Y,N,"MassHealth FFS, Tufts"
"Beryl's House, Community HealthLink",residental rehabilitation,14,"508-438-5625 x73626
",https://www.communityhealthlink.org/program/faith-beryl-house-residential-recovery,"2 Sigourney Street, Worcester MA 01605",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, Cigna, Aetna, OneCare, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), WellSense - MA Connector Care & Qualified Health Plan"
Linda Fay Griffin House (Advocates),residental rehabilitation,5,508-755-8990,https://advocates.org/who-we-are/people/linda-fay-griffin-house-recovery-home-women,"15 Northampton St, Worcester MA 01605",18,9999,female,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
Channing House (Advocates),residental rehabilitation,0,508-755-8088,https://advocates.org/who-we-are/people/channing-house-recovery-home-men,"21 Catharine St. Worcester, MA 01605",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other, WellSense - MA Connector Care & Qualified Health Plan"
SMOC/Rhodes to Recovery,residental rehabilitation,4,508-581-7821,https://smoc.org/service/residential-recovery-programs/,"5 Rhodes Street, Millbury MA 01527",18,9999,female,Y,Y,Y,Y,N,MBHP (PCC Plan)
Faith House (7 Different Facilities),residental rehabilitation,0,617-302-2251,https://faithhousecommunities.com,"Dorcester, MA",18,9999,All,Y,Y,Y,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Unicare, HSN - Health Safety Net, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, WellSense - MA Connector Care & Qualified Health Plan"
Anchor House,residental rehabilitation,0,508-746-6654,https://rehabs.org/anchor-house/,"60 Cherry St Plymouth, MA 02360",18,9999,All,Y,Y,N,Y,Y,"MBHP (PCC Plan), Medicare/Medicaid, Tufts, HSN - Health Safety Net, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Tufts Health Together (MCO), Tufts Health Together With CHA, WellSense - MassHealth Signature Alliance, WellSense Care Alliance, East Boston Neighborhood Health WellSense Alliance
"
Jeremiah's Inn,residental rehabilitation,2,508-755-6403 x102,https://jeremiahsinn.com/,"1059 Main Street, 1, Worcester MA 01603",18,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Community Care Cooperative (C3), Tufts Health Together (MCO), WellSense - MA Connector Care & Qualified Health Plan"
Steppingstone Fall River Women's Program,residental rehabilitation,3,508-674-2788 x11101,www.steppingstoneinc.org,"522 North Main, Fall River MA 02720",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Steward Health Choice, Tufts Health Together (MCO), WellSense - MA Connector Care & Qualified Health Plan"
Steppingstone Fall River Men's Program,residental rehabilitation,0,508-617-4436,www.steppingstoneinc.org,"466 North Main Fall River, MA 02720",18,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Steward Health Choice, Tufts Health Together (MCO), WellSense - MA Connector Care & Qualified Health Plan"
Harmony House (High Point),residental rehabilitation,0,774-628-1001,https://hptc.org/service/harmony-house/,"234 Earle St, New Bedford MA 02746",18,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Tufts Health Together (MCO)"
Pathway House (GAAMHA),residental rehabilitation,4,978-632-4574,https://www.gaamha.org/pathwayhouse/,"171 Graham Street, Gardner MA 01440",21,9999,male,Y,Y,N,Y,N,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, Tufts, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, Community Care Cooperative (C3)"
Steppingstone New Bedford Women's Program,residental rehabilitation,0,508-674-2788 X11101,www.steppingstoneinc.org,"979 Pleasant St New Bedford, MA 02740",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Medicare/Medicaid, MassHealth FFS, Tufts, Fallon Community Health Plan/Commercial, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Steward Health Choice, Tufts Health Together (MCO), WellSense - MA Connector Care & Qualified Health Plan"
Monarch House (SEMCOA),residental rehabilitation,0,774-628-1001,www.hptc.org,"33 South Sixth Street, New Bedford MA 02740",18,9999,female,Y,Y,Y,Y,N,"MBHP (PCC Plan), Tufts, BeHealthy Partnership, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Southcoast Alliance, WellSense - MA Connector Care & Qualified Health Plan"
Cole's Place,residental rehabilitation,0,413-301-9355,https://www.rehab.com/bhn-coles-place-springfield,"401 Liberty St., Springfield MA 01104",18,9999,male,Y,Y,N,Y,Y,"MBHP (PCC Plan), Medicare, Medicare/Medicaid, Blue Cross - MA, MassHealth FFS, Harvard Pilgrim, Tufts, United Behavioral Health, Neighborhood Health Plan/Commercial, Fallon Community Health Plan/Commercial, TriCare, Cigna, Aetna, Unicare, Program of All-Inclusive Care for the Elderly (PACE), Senior Care Options, OneCare, HSN - Health Safety Net, BeHealthy Partnership, Berkshire Fallon Health Collaborative, WellSense - MassHealth Essential (MCO), WellSense - MassHealth Community Alliance, WellSense - MassHealth Mercy Alliance, WellSense - MassHealth Southcoast Alliance, Community Care Cooperative (C3), Fallon 365 Care, Steward Health Choice, Tufts Health Together (MCO), Tufts Health Together With CHA, Blue Cross Non-MA, Other"
